"USER_NAME","HAS_FINANCIAL_AUTH","HAS_HR_FULL_AUTH","HAS_HR_LIMITED_AUTH","HAS_PAYROLL_AUTH","WAREHOUSE_LOAD_DATE"
"ANDREW5","N","N","N","N",28-OCT-24
"JIMCARP","N","N","N","N",28-OCT-24
"KBUNTON","N","N","N","N",28-OCT-24
"BTEWFIK","Y","N","N","N",28-OCT-24
"SAITOM","N","N","N","N",28-OCT-24
"ALCALDEC","N","N","N","N",28-OCT-24
"PCHAI","N","N","N","N",28-OCT-24
"KMAXWELL","Y","N","N","N",28-OCT-24
"EMILYGK","N","N","N","N",28-OCT-24
"AMENSSEN","N","N","N","N",28-OCT-24
"LARSOND","N","N","N","N",28-OCT-24
"JSABLE","N","N","N","N",28-OCT-24
"JIMROB","N","N","N","N",28-OCT-24
"MERCYJ","N","N","N","N",28-OCT-24
"BPRELLA","N","N","N","N",28-OCT-24
"BJ_KIM","N","N","N","N",28-OCT-24
"ZSURETTE","N","N","N","N",28-OCT-24
"LISSAB","N","N","N","N",28-OCT-24
"ARIADNAR","N","N","N","N",28-OCT-24
"ZDOYLE","N","N","N","N",28-OCT-24
"ASHERWOO","N","N","N","N",28-OCT-24
"ATDALE","Y","N","N","N",28-OCT-24
"CDIEHL","N","N","N","N",28-OCT-24
"ARTHURB","N","N","N","N",28-OCT-24
"JILIANG","N","N","N","N",28-OCT-24
"MI26957","N","N","N","N",28-OCT-24
"ELMOS","Y","N","N","N",28-OCT-24
"JO26908","N","N","N","N",28-OCT-24
"ESMERALD","Y","N","N","N",28-OCT-24
"PTG","Y","Y","Y","N",28-OCT-24
"DEEGAND","N","N","N","N",28-OCT-24
"BDGEER","Y","N","N","N",28-OCT-24
"IS26917","N","N","N","N",28-OCT-24
"CAROLYNW","N","N","N","N",28-OCT-24
"JMP71","N","N","N","N",28-OCT-24
"SGILLMER","N","N","N","N",28-OCT-24
"YAKUNLIU","N","N","N","N",28-OCT-24
"TIDOR","Y","N","N","N",28-OCT-24
"IA26882","N","N","N","N",28-OCT-24
"STEFMUE","Y","N","N","N",28-OCT-24
"TERI85","N","N","N","N",28-OCT-24
"LESLEYMN","Y","N","N","N",28-OCT-24
"JWCHUN","Y","N","N","N",28-OCT-24
"BOBSMITH","N","N","N","N",28-OCT-24
"ECKELLER","N","N","N","N",28-OCT-24
"ED26837","N","N","N","N",28-OCT-24
"SA26699","N","N","N","N",28-OCT-24
"RY26836","N","N","N","N",28-OCT-24
"SHEPARDK","Y","N","N","N",28-OCT-24
"WAGNERS","Y","Y","N","Y",28-OCT-24
"MA27692","N","N","N","N",28-OCT-24
"JO27697","N","N","N","N",28-OCT-24
"AL27722","N","N","N","N",28-OCT-24
"RTOLU","Y","N","N","N",28-OCT-24
"CKALFAS","N","N","N","N",28-OCT-24
"JENRIQUE","N","N","N","N",28-OCT-24
"EANDERSO","N","N","N","N",28-OCT-24
"MEGHANL","Y","N","N","N",28-OCT-24
"SESKIN","N","N","N","N",28-OCT-24
"MBUSEKRO","N","N","N","N",28-OCT-24
"KHOZIN","N","N","N","N",28-OCT-24
"UKAISER","N","N","N","N",28-OCT-24
"RENDEROS","Y","N","N","N",28-OCT-24
"OKEEFET","Y","N","N","N",28-OCT-24
"ARIJACO","Y","N","N","N",28-OCT-24
"JSIGONA","N","N","N","N",28-OCT-24
"BEHRAKIS","N","N","N","N",28-OCT-24
"KKU","N","N","N","N",28-OCT-24
"LAMMI","N","N","N","N",28-OCT-24
"SHARANYA","N","N","N","N",28-OCT-24
"CARRANO","N","N","N","N",28-OCT-24
"KIMCS","Y","Y","N","Y",28-OCT-24
"ALEXSIA","N","N","N","N",28-OCT-24
"LSPITZER","N","N","N","N",28-OCT-24
"MEGHANOC","N","N","N","N",28-OCT-24
"NEYLAN","Y","N","N","N",28-OCT-24
"RE27273","N","N","N","N",28-OCT-24
"BPRIMKUL","N","N","N","N",28-OCT-24
"LSALO","N","N","N","N",28-OCT-24
"HUISUN","N","N","N","N",28-OCT-24
"DECOOGAN","N","N","N","N",28-OCT-24
"DMMILLER","N","N","N","N",28-OCT-24
"ALFLEURY","N","N","N","N",28-OCT-24
"KI27862","N","N","N","N",28-OCT-24
"KBULOVIC","N","N","N","N",28-OCT-24
"OZALTUN","N","N","N","N",28-OCT-24
"TPHELPS","Y","N","N","N",28-OCT-24
"JE27835","N","N","N","N",28-OCT-24
"LHSUROD","N","N","N","N",28-OCT-24
"LMARTHUR","N","N","N","N",28-OCT-24
"CMCARDLE","Y","N","N","N",28-OCT-24
"MKANGK","N","N","N","N",28-OCT-24
"EREBOLLE","N","N","N","N",28-OCT-24
"MBADAM","N","N","N","N",28-OCT-24
"HO21649","N","N","N","N",28-OCT-24
"MLALLY","Y","N","N","N",28-OCT-24
"QKP","N","N","N","N",28-OCT-24
"CA28698","N","N","N","N",28-OCT-24
"EDISONPI","N","N","N","N",28-OCT-24
"ANIKET01","N","N","N","N",28-OCT-24
"NLAMSON","N","N","N","N",28-OCT-24
"LTANGUAY","Y","N","N","N",28-OCT-24
"SMERGEND","N","N","N","N",28-OCT-24
"AOBIN","Y","Y","N","Y",28-OCT-24
"DECESARE","N","N","N","N",28-OCT-24
"APFC","N","N","N","N",28-OCT-24
"BLAIS","N","N","N","N",28-OCT-24
"JETLEM","N","N","N","N",28-OCT-24
"JINYI","N","N","N","N",28-OCT-24
"CLIFFALL","N","N","N","N",28-OCT-24
"KLYONS1","Y","N","N","N",28-OCT-24
"ARAUDENB","N","N","N","N",28-OCT-24
"LYETTEFI","N","N","N","N",28-OCT-24
"KSASAKI","N","N","N","N",28-OCT-24
"EEMERY1","Y","N","N","N",28-OCT-24
"MFUCCI","N","N","N","N",28-OCT-24
"ALWI","Y","N","N","N",28-OCT-24
"ASEGUIN","N","N","N","N",28-OCT-24
"JUNEHYUK","N","N","N","N",28-OCT-24
"MA26645","N","N","N","N",28-OCT-24
"JO26668","N","N","N","N",28-OCT-24
"DFETOUH","N","N","N","N",28-OCT-24
"GRAPOSO","N","N","N","N",28-OCT-24
"CRMALONE","N","N","N","N",28-OCT-24
"MLUNIEWI","N","N","N","N",28-OCT-24
"NFLOUR","Y","N","N","N",28-OCT-24
"CHAVEZJ","N","N","N","N",28-OCT-24
"JA25812","N","N","N","N",28-OCT-24
"NELSONSM","N","N","N","N",28-OCT-24
"MMACKEL","N","N","N","N",28-OCT-24
"CH26674","N","N","N","N",28-OCT-24
"ME26619","N","N","N","N",28-OCT-24
"JO26626","N","N","N","N",28-OCT-24
"JANADAVI","Y","N","N","N",28-OCT-24
"JO26774","N","N","N","N",28-OCT-24
"AB26638","N","N","N","N",28-OCT-24
"KGENTILE","N","N","N","N",28-OCT-24
"ASECK","Y","N","Y","N",28-OCT-24
"ARWHI","Y","N","N","N",28-OCT-24
"BAKKER","Y","N","N","N",28-OCT-24
"BONNERD","N","N","N","N",28-OCT-24
"EV27470","N","N","N","N",28-OCT-24
"NI27298","N","N","N","N",28-OCT-24
"GA27675","N","N","N","N",28-OCT-24
"AHDORTCH","Y","N","N","Y",28-OCT-24
"LPOUCHAK","N","N","N","N",28-OCT-24
"RCMURPHY","N","N","N","N",28-OCT-24
"ALATTO","N","N","N","N",28-OCT-24
"MARYELLE","Y","Y","N","Y",28-OCT-24
"MI27535","N","N","N","N",28-OCT-24
"SPINALE","N","N","N","N",28-OCT-24
"CHAND","N","N","N","N",28-OCT-24
"JERICKSO","N","N","N","N",28-OCT-24
"LINGZHU","N","N","N","N",28-OCT-24
"MEMONDS","Y","N","N","N",28-OCT-24
"MEBNER","N","N","N","N",28-OCT-24
"MI27559","N","N","N","N",28-OCT-24
"PSLIESKE","N","N","N","N",28-OCT-24
"EEMURRAY","Y","N","N","N",28-OCT-24
"ZA28088","N","N","N","N",28-OCT-24
"JONALVAR","Y","N","N","N",28-OCT-24
"MEDVEDEV","N","N","N","N",28-OCT-24
"MEGUMIEM","N","N","N","N",28-OCT-24
"BARNETTD","Y","N","N","Y",28-OCT-24
"RI24229","N","N","N","N",28-OCT-24
