"SUBJECT_GROUPING_KEY","TERM_CODE","DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_NAME","WAREHOUSE_LOAD_DATE"
"1994SP77.47","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.60","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.63","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.70","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.72","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.76","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.77","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.85","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.93","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP77.UR","1994SP","7","Biology","7-Biology","Science",28-OCT-24
"1994SP88.01","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.02","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.03","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.04","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.05","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.06","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.08","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.12","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.14","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.18","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.19","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP88.UR","1994SP","8","Physics","8-Physics","Science",28-OCT-24
"1994SP97.29","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.05","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.35","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.39","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.50","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.68","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.70","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
