"ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","ORG_PARENT_KEY","ORG_PARENT","MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","D_CODE","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"268","268","W&G ST","WOMEN & GENDER STUDIES","244","S H&SS","230","PROVST","5","090010","0101060154","1","21","MIT Program in Women's and Gender Studies",28-OCT-24,"","090010","10004384","MIT Program in Women's & Gender Studies"
"101","101","A/VSVC","AUDIO-VISUAL SVC","160","ENTSVC","129","CHNCLR","6","874100","0101030309","1","","",28-OCT-24,"D_AVS","874100","10000917","Audio Visual Services"
"120","120","CAMMIT","CAMBRIDGE-MIT INST","271","ZORG","271","ZORG","4","400900","0101120004","1","","",28-OCT-24,"D_CMI","400900","10000594","Cambridge-MIT Institute"
"133","133","CMPACT","CAMP ACTIV COMPL","151","DSL","129","CHNCLR","5","405500","0101030303","1","","",28-OCT-24,"D_CAC","405500","10000636","Campus Activities Complex"
"144","144","D-GRAD","DEAN-GRAD STU","129","CHNCLR","129","CHNCLR","4","402200","0101030100","1","","",28-OCT-24,"D_DEANGRAD","402200","10000613","Office of Graduate Education HQ"
"148","148","DIRLIB","DIR OF LIBRARIES","230","PROVST","230","PROVST","4","270000","0101060015","1","","",28-OCT-24,"","","",""
"158","158","EI","ENERGY INITIATIV","266","VP-RES","230","PROVST","5","320000","0101060216","1","","MIT Energy Initiative",28-OCT-24,"D_LFEE","320000","10000582","MIT Energy Initiative"
"162","162","ESTDY","EXPER STUDY GRP","152","OVC","129","CHNCLR","5","159000","0101030407","1","","Experimental Study Group",28-OCT-24,"D_ESG","159000","10000541","Experimental Study Group"
"168","168","FSS","FINANC SYS SVCS","179","IS&T","163","EXECVP","5","421200","0101030638","1","","",28-OCT-24,"D_IS&T","421200","10000682","Financial Systems Services"
"172","172","HMNRES","HUMAN RESOURCES","265","VP-HUM","163","EXECVP","5","409000","0101030663","1","","",28-OCT-24,"D_HR","409000","10000653","Human Resources"
"174","174","HUMAN","HUMANITIES","244","S H&SS","230","PROVST","5","090000","0101060144","1","21","School of Humanities, Arts, and Social Sciences",28-OCT-24,"D_DHSS","090000","10000357","School of Humanities, Arts, & Social Sci"
"161","161","IDSS","INST FOR DATA SYS & SOCIETY","278","SCC","230","PROVST","5","068100","0101060014","1","ESD","Institute for Data, Systems, and Society",28-OCT-24,"D_IDSS","068100","10000333","Institute for Data, Systems, and Society"
"180","180","ISN","INST SLDR NANOTECH","266","VP-RES","230","PROVST","5","417000","0101060223","1","","Institute for Soldier Nanotechnologies",28-OCT-24,"D_ISN","417000","10000933","Institute for Soldier Nanotechnologies"
"194","194","LM&P","LAB FOR MFG&PROD","199","MECH","230","PROVST","6","069700","0101060122","1","","",28-OCT-24,"D_MECHE","069700","10000352","Lab for Manufacturing & Productivity"
"195","195","LNS","LAB FOR NUCL SCI","246","S SCI","230","PROVST","5","159900","0101060189","1","","Laboratory for Nuclear Science",28-OCT-24,"D_LNS","159900","10000547","Laboratory for Nuclear Science"
"213","213","OME","OFF OF MINR EDUC","152","OVC","129","CHNCLR","5","441100","0101030415","1","","",28-OCT-24,"D_OME","441100","10000728","Office of Minority Education"
"223","223","POLSCI","POLITICAL SCI","244","S H&SS","230","PROVST","5","095500","0101060150","1","17","Department of Political Science",28-OCT-24,"D_POLSCI","095500","10000368","Political Science"
"235","235","RESDOF","RESIDENCE DOF","238","RLSLAD","129","CHNCLR","6","591030","0101030324","0","","",28-OCT-24,"D_FACILITIES","591030","10002465","Dof Utilities"
"278","278","SCC","SCHWARZMAN COLLEGE OF COMPUTING","230","PROVST","230","PROVST","4","401930","0101060010","1","","Schwarzman College of Computing",28-OCT-24,"D_DEANCOMP","401930","10005759","Schwarzman College of Computing"
"257","257","T&LL","TEACH & LRN LAB","152","OVC","129","CHNCLR","5","441700","0101030435","1","","",28-OCT-24,"D_TLL","441700","10000743","Teaching & Learning Laboratory"
"258","258","TCHREV","TECHNOLOGY REVIEW","271","ZORG","271","ZORG","4","876000","0101120010","1","","",28-OCT-24,"D_TECHREVIEW","876000","10000920","Technology Review"
"261","261","UA&AP","UND ADV&ACAD PR","152","OVC","129","CHNCLR","5","444000","0101030439","1","","",28-OCT-24,"D_UAAP","444000","10002634","Undergraduate Advising Center"
"263","263","VP-DEV","VP-RESOURCE DEV","163","EXECVP","163","EXECVP","4","410000","0101030675","1","","",28-OCT-24,"D_RESDEV","410000","10000658","Vice Pres for Resource Development"
"264","264","VP-FIN","VP-FINANCE","163","EXECVP","163","EXECVP","4","407000","0101030657","1","","",28-OCT-24,"D_CAS","407000","10003058","Office of the Vice President for Finance"
