"ACADEMIC_YEAR","TERM_CODE","SUBJECT_ID","SUBJECT_CODE","SUBJECT_NUMBER","SOURCE_SUBJECT_ID","PRINT_SUBJECT_ID","IS_PRINTED_IN_BULLETIN","DEPARTMENT_CODE","DEPARTMENT_NAME","EFFECTIVE_TERM_CODE","SUBJECT_SHORT_TITLE","SUBJECT_TITLE","IS_VARIABLE_UNITS","LECTURE_UNITS","LAB_UNITS","PREPARATION_UNITS","TOTAL_UNITS","DESIGN_UNITS","GRADE_TYPE","GRADE_TYPE_DESC","GRADE_RULE","GRADE_RULE_DESC","HGN_CODE","HGN_DESC","HGN_EXCEPT","GIR_ATTRIBUTE","GIR_ATTRIBUTE_DESC","COMM_REQ_ATTRIBUTE","COMM_REQ_ATTRIBUTE_DESC","TUITION_ATTRIBUTE","TUITION_ATTRIBUTE_DESC","WRITE_REQ_ATTRIBUTE","WRITE_REQ_ATTRIBUTE_DESC","SUPERVISOR_ATTRIBUTE","SUPERVISOR_ATTRIBUTE_DESC","PREREQUISITES","SUBJECT_DESCRIPTION","JOINT_SUBJECTS","SCHOOL_WIDE_ELECTIVES","MEETS_WITH_SUBJECTS","EQUIVALENT_SUBJECTS","IS_OFFERED_THIS_YEAR","IS_OFFERED_FALL_TERM","IS_OFFERED_IAP","IS_OFFERED_SPRING_TERM","IS_OFFERED_SUMMER_TERM","FALL_INSTRUCTORS","SPRING_INSTRUCTORS","STATUS_CHANGE","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE","MASTER_SUBJECT_ID","HASS_ATTRIBUTE","HASS_ATTRIBUTE_DESC","TERM_DURATION","GLOBAL_REGIONS","GLOBAL_COUNTRIES","ON_LINE_PAGE_NUMBER","SECTION_ID","IS_MASTER_SECTION","IS_LECTURE_SECTION","IS_LAB_SECTION","IS_RECITATION_SECTION","IS_DESIGN_SECTION","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","MEET_TIME","MEET_PLACE"
"2002","2002SU","16.NIV","16","NIV","16.NIV","16.NIV","N","16","Aeronautics and Astronautics","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002FA","16.NIV","16","NIV","16.NIV","16.NIV","N","16","Aeronautics and Astronautics","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Stuppard, Marie","900003227","",""
"2002","2002SP","16.NIV","16","NIV","16.NIV","16.NIV","N","16","Aeronautics and Astronautics","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Stuppard, Marie","900003227","",""
"2002","2002SP","15.952","15","952","15.952","15.952","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002FA","15.952","15","952","15.952","15.952","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002JA","15.952","15","952","15.952","15.952","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Carroll, John","900016017","",""
"2002","2002FA","15.953","15","953","15.953","15.953","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002SP","15.953","15","953","15.953","15.953","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002FA","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Penfield, Paul","900025203","",""
"2002","2002SP","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Penfield, Paul","900025203","",""
"2002","2002SP","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","R01","N","N","N","Y","N","Penfield, Paul","900025203","R12","34-302"
"2002","2002SP","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","R02","N","N","N","Y","N","Penfield, Paul","900025203","R12","34-304"
"2002","2002SP","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","L01","N","Y","N","N","N","Penfield, Paul","900025203","TR12","37-212"
"2002","2002FA","6.096","6","096","6.096","6.096","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Stein, Lynn","900017162","",""
"2002","2002SP","6.096","6","096","6.096","6.096","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Abelson, Harold","900019497","",""
"2002","2002SP","6.096","6","096","6.096","6.096","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","L01","N","Y","N","N","N","Abelson, Harold","900019497","M3-5","1-134"
"2002","2002FA","6.097","6","097","6.097","6.097","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Hunter, Anne","900016120","",""
"2002","2002SP","6.097","6","097","6.097","6.097","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Hunter, Anne","900016120","",""
"2002","2002FA","6.098","6","098","6.098","6.098","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Hunter, Anne","900016120","",""
