"BUILDING_KEY","BUILDING_NUMBER","BUILDING_NAME","BUILDING_STREET_ADDRESS","BUILDING_MAILING_ADDRESS","BLDG_GROSS_SQUARE_FOOTAGE","BLDG_ASSIGNABLE_SQUARE_FOOTAGE","BUILDING_COUNTER","WAREHOUSE_LOAD_DATE"
"E52","E52","MORRIS & SOPHIE CHANG BUILDING","50  MEMORIAL DR","",161974.43,95746.47,1,28-OCT-24
"E53","E53","Grover M Hermann Building","30  WADSWORTH ST","",84984.92,53539.04,1,28-OCT-24
"E53P","E53P","BUILDING E53P","30  WADSWORTH ST","",10460.19,10021.75,1,28-OCT-24
"E60","E60","Arthur D Little Building","30  MEMORIAL DR","",30130.11,12961.15,1,28-OCT-24
"E62","E62","Building E62","100 MAIN ST","",267192.5,152222.92,1,28-OCT-24
"E62P","E62P","BUILDING E62P","100 MAIN ST","",137854.54,124415.25,1,28-OCT-24
"E66","E66","1 Memorial Drive","1 MEMORIAL DRIVE","",0,0,1,28-OCT-24
"E70","E70","Badger Building","1 BROADWAY","",17453.41,14887.58,1,28-OCT-24
"E90","E90","Building E90","1 MAIN ST","",54286.48,50282.32,1,28-OCT-24
"E94","E94","BUILDING E94","245 FIRST ST","",15506.61,14101.34,1,28-OCT-24
"N10","N10","High Voltage Research Laboratory","155  MASSACHUSETTS AVE","",10084.86,8101.7,1,28-OCT-24
"N16","N16","Cooling Tower & Oil Reserve","60  ALBANY ST","",34794.86,3441.66,1,28-OCT-24
"N16A","N16A","Building N16A","60  ALBANY ST","",9766.11,0,1,28-OCT-24
"N16B","N16B","Fire Pump House","60  ALBANY ST","",1249.72,0,1,28-OCT-24
"N16C","N16C","Building N16C","60  ALBANY ST","",2925.3,155.39,1,28-OCT-24
"N4","N4","Albany Street Parking Garage","32  ALBANY ST","",143032.14,129868.34,1,28-OCT-24
"N47","N47","BUILDING N47","730 MAIN STREET","",11861.01,7991.58,1,28-OCT-24
"N51","N51","Building N51","275 MASSACHUSETTS AVE","",44980.93,33618.41,1,28-OCT-24
"N52","N52","Building N52","265 MASSACHUSETTS AVE","",103874.44,71730.92,1,28-OCT-24
"N57","N57","Building N57","1 STATE ST","",46882.29,41521.21,1,28-OCT-24
"N9","N9","Superconducting Generator Test Facility","68  ALBANY ST","",5882.04,5345.17,1,28-OCT-24
"NE106","NE106","101 ROGERS STREET","101 ROGERS ST","",3694.94,3285.81,1,28-OCT-24
"NE18","NE18","255 Main Street","255 MAIN ST","",33044.91,28129.06,1,28-OCT-24
"NE36","NE36","BUILDING NE36","105 BROADWAY","",43141.39,37385.23,1,28-OCT-24
"NE45","NE45","300 Technology Square","300 TECHNOLOGY SQ","",8049.06,4444.31,1,28-OCT-24
"NE47","NE47","500 Technology Square","500  TECHNOLOGY SQ","",73631.09,63249.26,1,28-OCT-24
"NE48","NE48","700 Technology Square","700  TECHNOLOGY SQ","",18156.59,15196.83,1,28-OCT-24
"NE49","NE49","600 Technology Square","600  TECHNOLOGY SQ","",93671.28,103886.68,1,28-OCT-24
"NE83","NE83","Building 300","1 KENDALL SQ","",20795.59,17498.25,1,28-OCT-24
"NW10","NW10","Edgerton House","143  ALBANY ST","",132529.78,82906.95,1,28-OCT-24
"NW12","NW12","Nuclear Reactor Laboratory","138  ALBANY ST","",50294.23,34853.39,1,28-OCT-24
"NW12A","NW12A","Nuclear Reactor Lab","138 ALBANY ST (REAR)","",400.83,328.89,1,28-OCT-24
"NW13","NW13","Building NW13","144  ALBANY ST","",61937.11,46945.06,1,28-OCT-24
"NW14","NW14","Francis Bitter Magnet Laboratory (NW14)","150  ALBANY ST","",144673.42,101485.34,1,28-OCT-24
"NW15","NW15","Francis Bitter Magnet Laboratory (NW15)","166-170  ALBANY ST","",16137.29,14388.58,1,28-OCT-24
"NW16","NW16","Plasma Science And Fusion Center (NW16)","167  ALBANY ST","",50148.39,31109.74,1,28-OCT-24
"NW17","NW17","Plasma Science And Fusion Center (NW17)","175  ALBANY ST","",45542.35,28487.93,1,28-OCT-24
"NW20","NW20","Albany Street Generator Shelter","180  ALBANY ST","",5784.7,5291.98,1,28-OCT-24
"NW21","NW21","Plasma Science And Fusion Center (NW21)","190  ALBANY ST","",124096.66,64826.08,1,28-OCT-24
"NW22","NW22","Plasma Science And Fusion Center (NW22)","185  ALBANY ST","",49002.27,39630.57,1,28-OCT-24
"NW23","NW23","BUILDING NW23","195 ALBANY ST","",51156.85,39138.86,1,28-OCT-24
"NW30","NW30","BUILDING NW30","224 ALBANY ST","",85812.19,50288.65,1,28-OCT-24
