"VIEW_ID","FIELD_ID","SENSITIVITY_ID","STATUS","INDEXED"
2019,5396,,"",""
2019,5397,,"",""
2019,5398,,"",""
2019,5399,,"",""
2019,5400,,"",""
2019,5401,,"",""
2019,5402,,"",""
2019,169,,"",""
2019,170,,"",""
2019,1100,,"",""
2019,3240,,"",""
2019,3241,,"",""
2019,3242,,"",""
2019,3243,,"",""
2019,3244,,"",""
1302,3907,,"",""
1302,24361,,"",""
1302,3933,,"",""
1302,3934,,"",""
1302,3935,,"",""
1302,3936,,"",""
13253,278,,"",""
13253,280,,"",""
5676,11434,,"",""
5676,11435,,"",""
5676,11436,,"",""
5676,41,,"",""
13253,281,,"",""
13253,282,,"",""
13253,283,,"",""
13253,308,,"",""
13253,309,,"",""
13253,333,,"",""
13253,332,,"",""
13253,1058,,"",""
13253,430,,"",""
13253,1056,,"",""
13253,1057,,"",""
13253,285,,"",""
13253,5439,,"",""
1302,3937,,"",""
1302,3938,,"",""
251,1656,,"",""
251,2602,,"",""
251,1657,,"",""
622,2602,,"",""
622,2603,,"",""
622,41,,"",""
251,1655,,"",""
251,1658,,"",""
251,1659,,"",""
251,1660,,"",""
251,2604,,"",""
251,1661,,"",""
251,1662,,"",""
251,41,,"",""
1302,368,,"",""
1302,3939,,"",""
1302,2055,,"",""
1302,2810,,"",""
1302,3931,,"",""
1302,3940,,"",""
1302,3941,,"",""
1302,3942,,"",""
1302,3943,,"",""
1302,1304,,"",""
1302,1278,,"",""
1302,3944,,"",""
1302,3945,,"",""
1302,3932,,"",""
1302,3946,,"",""
1302,41,,"",""
1302,3319,,"",""
1302,21171,,"",""
1302,21172,,"",""
5116,4890,,"",""
5116,10303,,"",""
5116,1362,,"",""
5116,10313,,"",""
5116,10314,,"",""
5116,10315,,"",""
5196,10302,,"",""
5196,4890,,"",""
5196,10303,,"",""
3218,7384,,"",""
3218,7385,,"",""
3218,2809,,"",""
3218,2055,,"",""
3218,7386,,"",""
3218,41,,"",""
5196,1362,,"",""
5196,10313,,"",""
5196,10314,,"",""
5196,10315,,"",""
3383,7557,,"",""
2019,3245,,"",""
2019,3246,,"",""
2019,3247,,"",""
2060,278,,"",""
2060,3640,,"",""
2060,3233,,"",""
2060,3254,,"",""
2060,3255,,"",""
2060,3256,,"",""
2060,3257,,"",""
2060,1091,,"",""
2060,41,,"",""
2099,5726,,"",""
2099,5619,,"",""
2099,5727,,"",""
2099,5621,,"",""
2099,5728,,"",""
2099,5729,,"",""
2099,5730,,"",""
2099,200,,"",""
2099,204,,"",""
2099,212,,"",""
2099,6064,,"",""
2099,7404,,"",""
2099,41,,"",""
3383,7615,,"",""
3383,7616,,"",""
3383,278,,"",""
3383,1057,,"",""
3383,280,,"",""
3383,281,,"",""
3383,282,,"",""
3383,283,,"",""
2019,11762,,"",""
2019,11763,,"",""
2019,11764,,"",""
2019,1091,,"",""
2019,41,,"",""
3383,4269,,"",""
3383,285,,"",""
3383,3240,,"",""
3383,3241,,"",""
3383,3242,,"",""
3383,3243,,"",""
3383,1183,,"",""
3383,3265,,"",""
3383,309,,"",""
3383,5524,,"",""
3383,5525,,"",""
14015,1059,,"",""
14015,1125,,"",""
14015,8032,,"",""
14015,20418,,"",""
14015,2810,,"",""
14015,430,,"",""
14015,3027,,"",""
14015,25166,,"",""
14015,25167,,"",""
14015,25168,,"",""
14015,25169,,"",""
14015,25170,,"",""
14015,25171,,"",""
14015,41,,"",""
13136,278,,"",""
13136,8844,,"",""
13136,1057,,"",""
13136,280,,"",""
13136,281,,"",""
13136,282,,"",""
13136,283,,"",""
13136,4269,,"",""
13136,285,,"",""
13136,3243,,"",""
13136,1183,,"",""
13136,41,,"",""
11432,4601,,"",""
11432,5403,,"",""
11432,5404,,"",""
