"FUND_CENTER_KEY","FUND_CENTER_ID","FUND_CENTER_NAME","FUND_CENTER_ID_LEVEL1","FUND_CENTER_NAME_LEVEL1","FUND_CENTER_ID_LEVEL2","FUND_CENTER_NAME_LEVEL2","FUND_CENTER_ID_LEVEL3","FUND_CENTER_NAME_LEVEL3","FUND_CENTER_ID_LEVEL4","FUND_CENTER_NAME_LEVEL4","FUND_CENTER_ID_LEVEL5","FUND_CENTER_NAME_LEVEL5","FUND_CENTER_ID_LEVEL6","FUND_CENTER_NAME_LEVEL6","FUND_CENTER_ID_LEVEL7","FUND_CENTER_NAME_LEVEL7","FUND_CENTER_ID_LEVEL8","FUND_CENTER_NAME_LEVEL8","FUND_CENTER_ID_LEVEL9","FUND_CENTER_NAME_LEVEL9","FUND_CENTER_ID_LEVEL10","FUND_CENTER_NAME_LEVEL10","WAREHOUSE_LOAD_DATE"
"101109","101109","GO-CENTER FOR REAL ESTATE P033000","100000","PRESIDENT","100001","PROVOST AREA","100011","ARCHITECTURE & PLANNING","100050","CENTER FOR REAL ESTATE","101109","GO-CENTER FOR REAL ESTATE P033000","","","","","","","","","","",28-OCT-24
"102018","102018","GNO-BPEC P068800","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100066","BIOTECH. PROCESS ENGINEERING CTR P068800","102018","GNO-BPEC P068800","","","","","","","","","","",28-OCT-24
"102405","102405","GNO-MIT-SUTD COLLABORATION","100000","PRESIDENT","100001","PROVOST AREA","100016","OFFICE OF PROVOST","100543","MIT-SUTD COLLABORATION","102405","GNO-MIT-SUTD COLLABORATION","","","","","","","","","","",28-OCT-24
"102450","102450","GNO-ESI P401511","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100037","EARTH SYSTEM INITIATIVE P401511","102450","GNO-ESI P401511","","","","","","","","","","",28-OCT-24
"400044","400044","DH-GLOBAL STUDIES & LANGUAGES","100000","PRESIDENT","100001","PROVOST AREA","100013","HUMANITITES & SOCIAL SCIENCE","100085","GLOBAL STUDIES & LANGUAGES","400044","DH-GLOBAL STUDIES & LANGUAGES","","","","","","","","","","",28-OCT-24
"100740","100740","ECONOMICS","100000","PRESIDENT","100001","PROVOST AREA","100013","HUMANITITES & SOCIAL SCIENCE","100740","ECONOMICS","","","","","","","","","","","","",28-OCT-24
"403113","403113","DH - ROTC MILITARY SCIENCE","100000","PRESIDENT","100001","PROVOST AREA","100258","DEAN FOR UNDERGRADUATE EDUCATION","100664","ROTC MILITARY SCIENCE","403113","DH - ROTC MILITARY SCIENCE","","","","","","","","","","",28-OCT-24
"100137","100137","CTR FOR MATERIALS SCIENCE & ENGINEERING","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100137","CTR FOR MATERIALS SCIENCE & ENGINEERING","","","","","","","","","","","","",28-OCT-24
"403269","403269","DH - OSATT P401940","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100716","Ofc of Strategic Alliances & Tech Trans","403269","DH - OSATT P401940","","","","","","","","","","",28-OCT-24
"207546","207546","TERMAN /CHRISTOPHER J EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","207546","TERMAN /CHRISTOPHER J EECS P064000","","","","","","","","",28-OCT-24
